fund_code,announcement_date,event_date,title,content,source_url
159728.SZ,20221229,,关于南方国证在线消费交易型开放式指数证券投资基金流动性服务商的公告,,https://static.cninfo.com.cn/finalpage/2022-12-29/1215468240.PDF
159728.SZ,20221229,,关于南方国证在线消费交易型开放式指数证券投资基金的提示性公告,,https://static.cninfo.com.cn/finalpage/2022-12-29/1215470205.PDF
588320.SH,20221229,,广发中证科创创业50增强策略交易型开放式指数证券投资基金基金合同生效公告,募集(基金) 基金合同生效,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-12-29/588320_20221229_HOI7.pdf
588320.SH,20221230,,广发中证科创创业50增强策略交易型开放式指数证券投资基金基金产品资料概要更新,基金运作(基金) 更新招募类/产品资料概要公告及文件,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-12-30/588320_20221230_VGO4.pdf
588320.SH,20230103,,关于广发中证科创创业50增强策略交易型开放式指数证券投资基金开放日常申购、赎回业务的公告,基金运作(基金) ETF申购赎回,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-03/588320_20230103_JDNW.pdf
588320.SH,20230103,,广发中证科创创业50增强策略交易型开放式指数证券投资基金上市交易公告书,上市(基金) 上市交易公告书,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-03/588320_20230103_UDXL.pdf
588320.SH,20230103,,广发中证科创创业50增强策略交易型开放式指数证券投资基金上市交易公告书提示性公告,上市(基金) 上市交易公告书,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-03/588320_20230103_NMDJ.pdf
560680.SH,20230104,,关于广发中证主要消费交易型开放式指数证券投资基金可能触发基金合同终止情形的提示性公告,临时报告(基金) 提示性公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-04/560680_20230104_J9XS.pdf
159728.SZ,20230105,,关于南方国证在线消费交易型开放式指数证券投资基金基金资产净值连续低于5000万元的提示性公告,,https://static.cninfo.com.cn/finalpage/2023-01-05/1215525001.PDF
588320.SH,20230106,,关于增加金元证券为广发中证科创创业50增强策略交易型开放式指数证券投资基金一级交易商的公告,临时报告(基金) 代办券商变更,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-06/588320_20230106_LDHI.pdf
588320.SH,20230106,,广发中证科创创业50增强策略交易型开放式指数证券投资基金上市交易提示性公告,上市(基金) 上市交易公告书,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-06/588320_20230106_D92C.pdf
588320.SH,20230106,,广发中证科创创业50增强策略交易型开放式指数证券投资基金基金产品资料概要更新,基金运作(基金) 更新招募类/产品资料概要公告及文件,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-06/588320_20230106_CRE7.pdf
588320.SH,20230106,,广发中证科创创业50增强策略交易型开放式指数证券投资基金更新的招募说明书,基金运作(基金) 更新招募类/产品资料概要公告及文件,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-06/588320_20230106_RXUH.pdf
159787.SZ,20230107,,关于易方达中证全指建筑材料交易型开放式指数证券投资基金基金资产净值连续低于5000万元的提示性公告,,https://static.cninfo.com.cn/finalpage/2023-01-07/1215540092.PDF
159787.SZ,20230110,,关于易方达中证全指建筑材料交易型开放式指数证券投资基金可能触发基金合同终止情形的提示性公告,,https://static.cninfo.com.cn/finalpage/2023-01-10/1215557418.PDF
511220.SH,20230110,20230113,海富通基金管理有限公司关于上证城投债交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,基金运作(基金) 基金折算/拆分,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-10/511220_20230110_6QF2.pdf
513320.SH,20230110,,关于易方达恒生港股通新经济交易型开放式指数证券投资基金2023年港股通非交易日暂停申购、赎回业务的公告,临时报告(基金) 其他事项,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-10/513320_20230110_NZC0.pdf
159787.SZ,20230111,,关于易方达中证全指建筑材料交易型开放式指数证券投资基金可能触发基金合同终止情形的提示性公告,,https://static.cninfo.com.cn/finalpage/2023-01-11/1215566816.PDF
513320.SH,20230113,,关于易方达恒生港股通新经济交易型开放式指数证券投资基金基金资产净值连续低于5000万元的提示性公告,临时报告(基金) 提示性公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-13/513320_20230113_VVG6.pdf
513320.SH,20230114,,关于易方达恒生港股通新经济交易型开放式指数证券投资基金可能触发基金合同终止情形的提示性公告,临时报告(基金) 提示性公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-14/513320_20230114_TIM0.pdf
511220.SH,20230116,,海富通基金管理有限公司关于上证城投债交易型开放式指数证券投资基金份额拆分结果的公告,基金运作(基金) 基金折算/拆分,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-16/511220_20230116_F9OY.pdf
513320.SH,20230116,,关于旗下部分基金2023年1月19日至2023年1月20日因港股通非交易日暂停申购、赎回、转换、定期定额投资业务的提示性公告,基金运作(基金) ETF申购赎回,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-16/513320_20230116_8K1L.pdf
513320.SH,20230117,,关于易方达恒生港股通新经济交易型开放式指数证券投资基金可能触发基金合同终止情形的提示性公告,临时报告(基金) 提示性公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-17/513320_20230117_U403.pdf
510770.SH,20230118,,关于申万菱信上证G60战略新兴产业成份交易型开放式指数证券投资基金基金份额持有人大会会议情况的公告,基金运作(基金) 持有人大会,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-18/510770_20230118_LID4.pdf
159001.SZ,20230120,,易方达保证金收益货币市场基金2022年第4季度报告,,https://static.cninfo.com.cn/finalpage/2023-01-20/1215669567.PDF
159001.SZ,20230120,,易方达基金管理有限公司旗下基金2022年第4季度报告提示性公告,,https://static.cninfo.com.cn/finalpage/2023-01-20/1215669521.PDF
159787.SZ,20230120,,易方达中证全指建筑材料交易型开放式指数证券投资基金2022年第4季度报告,,https://static.cninfo.com.cn/finalpage/2023-01-20/1215669554.PDF
159787.SZ,20230120,,易方达基金管理有限公司旗下基金2022年第4季度报告提示性公告,,https://static.cninfo.com.cn/finalpage/2023-01-20/1215669511.PDF
159831.SZ,20230120,,嘉实上海金交易型开放式证券投资基金2022年第4季度报告,,https://static.cninfo.com.cn/finalpage/2023-01-20/1215663334.PDF
159944.SZ,20230120,,广发中证全指原材料交易型开放式指数证券投资基金2022年第4季度报告,,https://static.cninfo.com.cn/finalpage/2023-01-20/1215663276.PDF
513320.SH,20230120,,易方达基金管理有限公司旗下基金2022年第4季度报告提示性公告,定期报告(基金) 季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-20/513320_20230120_HX2E.pdf
