fund_code,name,is_etf_candidate,candidate_rule,category,subcategory,fund_type,benchmark,market,status,list_date,delist_date,management,category_rule,review_note,sw_index_code,sw_industry_name,sw_level,sw_parent_code,sw_match_term,sw_match_rule
159110.SZ,万家深证AAA科技创新公司债ETF,Y,include:name_etf,债券,信用债,债券型,深证AAA科技创新公司债指数收益率×100%,E,L,2025/9/24,,万家基金管理有限公司,fund_type/name:bond,,,,,,,
159111.SZ,天弘中证AAA科技创新公司债ETF,Y,include:name_etf,债券,信用债,债券型,中证AAA科技创新公司债指数收益率×100%,E,L,2025/9/24,,天弘基金管理有限公司,fund_type/name:bond,,,,,,,
159112.SZ,银华中证AAA科技创新公司债ETF,Y,include:name_etf,债券,信用债,债券型,中证AAA科技创新公司债指数收益率×100%,E,L,2025/9/24,,银华基金管理股份有限公司,fund_type/name:bond,,,,,,,
159113.SZ,大成中证AAA科技创新公司债ETF,Y,include:name_etf,债券,信用债,债券型,中证AAA科技创新公司债指数收益率×100%,E,L,2025/9/24,,大成基金管理有限公司,fund_type/name:bond,,,,,,,
159115.SZ,华安中证AAA科技创新公司债ETF,Y,include:name_etf,债券,信用债,债券型,中证AAA科技创新公司债指数收益率×100%,E,L,2025/9/24,,华安基金管理有限公司,fund_type/name:bond,,,,,,,
159116.SZ,工银瑞信中证AAA科技创新公司债ETF,Y,include:name_etf,债券,信用债,债券型,中证AAA科技创新公司债指数收益率×100%,E,L,2025/9/24,,工银瑞信基金管理有限公司,fund_type/name:bond,,,,,,,
159200.SZ,富国中证AAA科技创新公司债ETF,Y,include:name_etf,债券,信用债,债券型,中证AAA科技创新公司债指数收益率×100%,E,L,2025/7/17,,富国基金管理有限公司,fund_type/name:bond,,,,,,,
159395.SZ,大成深证基准做市信用债ETF,Y,include:name_etf,债券,信用债,债券型,深证基准做市信用债指数收益率×100%,E,L,2025/1/27,,大成基金管理有限公司,fund_type/name:bond,,,,,,,
159396.SZ,博时深证基准做市信用债ETF,Y,include:name_etf,债券,信用债,债券型,深证基准做市信用债指数收益率×100%,E,L,2025/2/6,,博时基金管理有限公司,fund_type/name:bond,,,,,,,
159397.SZ,广发深证基准做市信用债ETF,Y,include:name_etf,债券,信用债,债券型,深证基准做市信用债指数收益率×100%,E,L,2025/2/7,,广发基金管理有限公司,fund_type/name:bond,,,,,,,
159398.SZ,天弘深证基准做市信用债ETF,Y,include:name_etf,债券,信用债,债券型,深证基准做市信用债指数收益率×100%,E,L,2025/2/6,,天弘基金管理有限公司,fund_type/name:bond,,,,,,,
159400.SZ,景顺长城深证AAA科技创新公司债ETF,Y,include:name_etf,债券,信用债,债券型,深证AAA科技创新公司债指数收益率×100%,E,L,2025/7/17,,景顺长城基金管理有限公司,fund_type/name:bond,,,,,,,
159600.SZ,嘉实中证AAA科技创新公司债ETF,Y,include:name_etf,债券,信用债,债券型,中证AAA科技创新公司债指数收益率×100%,E,L,2025/7/17,,嘉实基金管理有限公司,fund_type/name:bond,,,,,,,
159649.SZ,华安中债1-5年国开行债券ETF,Y,include:name_etf,债券,政金债,债券型,中债-1-5年国开行债券指数×100%,E,L,2022/10/24,,华安基金管理有限公司,fund_type/name:bond,,,,,,,
159650.SZ,博时中债0-3年国开行债券ETF,Y,include:name_etf,债券,政金债,债券型,中债-0-3年国开行债券指数收益率×100%,E,L,2022/10/28,,博时基金管理有限公司,fund_type/name:bond,,,,,,,
159651.SZ,平安中债-0-3年国开行债券ETF,Y,include:name_etf,债券,政金债,债券型,中债-0-3年国开行债券指数×100%,E,L,2022/11/16,,平安基金管理有限公司,fund_type/name:bond,,,,,,,
159700.SZ,南方中证AAA科技创新公司债ETF,Y,include:name_etf,债券,信用债,债券型,中证AAA科技创新公司债指数收益率×100%,E,L,2025/7/17,,南方基金管理股份有限公司,fund_type/name:bond,,,,,,,
159816.SZ,鹏华中证0-4年期地方政府债ETF,Y,include:name_etf,债券,地方债,债券型,中证0-4年期地方政府债指数收益率×100%,E,L,2020/9/4,,鹏华基金管理有限公司,fund_type/name:bond,,,,,,,
159972.SZ,鹏华中证5年期地方政府债ETF,Y,include:name_etf,债券,地方债,债券型,中证5年期地方政府债指数收益率×100%,E,L,2019/11/8,,鹏华基金管理有限公司,fund_type/name:bond,,,,,,,
511010.SH,国泰上证5年期国债ETF,Y,include:name_etf,债券,国债,债券型,上证5年期国债指数×100%,E,L,2013/3/25,,国泰基金管理有限公司,fund_type/name:bond,,,,,,,
511020.SH,平安中证5-10年期国债活跃券ETF,Y,include:name_etf,债券,国债,债券型,中证5-10年期国债活跃券指数收益率×100%,E,L,2019/2/22,,平安基金管理有限公司,fund_type/name:bond,,,,,,,
511030.SH,平安中债-中高等级公司债利差因子ETF,Y,include:name_etf,债券,信用债,债券型,中债-中高等级公司债利差因子指数收益率×100%,E,L,2019/3/22,,平安基金管理有限公司,fund_type/name:bond,,,,,,,
511060.SH,海富通上证5年期地方政府债ETF,Y,include:name_etf,债券,地方债,债券型,上证5年期地方政府债指数收益率×100%,E,L,2019/12/12,,海富通基金管理有限公司,fund_type/name:bond,,,,,,,
511070.SH,南方上证基准做市公司债ETF,Y,include:name_etf,债券,信用债,债券型,上证基准做市公司债指数收益率×100%,E,L,2025/1/22,,南方基金管理股份有限公司,fund_type/name:bond,,,,,,,
511090.SH,鹏扬中债-30年期国债ETF,Y,include:name_etf,债券,国债,债券型,中债-30年期国债指数收益率×100%,E,L,2023/6/13,,鹏扬基金管理有限公司,fund_type/name:bond,,,,,,,
511100.SH,华夏上证基准做市国债ETF,Y,include:name_etf,债券,国债,债券型,上证基准做市国债指数收益率×100%,E,L,2023/12/25,,华夏基金管理有限公司,fund_type/name:bond,,,,,,,
511110.SH,易方达上证基准做市公司债ETF,Y,include:name_etf,债券,信用债,债券型,上证基准做市公司债指数收益率×100%,E,L,2025/1/24,,易方达基金管理有限公司,fund_type/name:bond,,,,,,,
511120.SH,广发上证AAA科技创新公司债ETF,Y,include:name_etf,债券,信用债,债券型,上证AAA科技创新公司债指数收益率×100%,E,L,2025/7/17,,广发基金管理有限公司,fund_type/name:bond,,,,,,,
511130.SH,博时上证30年期国债ETF,Y,include:name_etf,债券,国债,债券型,上证30年期国债指数收益率×100%,E,L,2024/3/28,,博时基金管理有限公司,fund_type/name:bond,,,,,,,
511150.SH,永赢上证AAA科技创新公司债ETF,Y,include:name_etf,债券,信用债,债券型,上证AAA科技创新公司债指数收益率×100%,E,L,2025/9/24,,永赢基金管理有限公司,fund_type/name:bond,,,,,,,
511160.SH,东财中证1-3年国债ETF,Y,include:name_etf,债券,国债,债券型,中证1-3年国债指数收益率×100%,E,L,2025/1/6,,东财基金管理有限公司,fund_type/name:bond,,,,,,,
511180.SH,海富通上证投资级可转债及可交换债券ETF,Y,include:name_etf,债券,可转债,债券型,上证投资级可转债及可交换债券指数收益率×100%,E,L,2020/8/26,,海富通基金管理有限公司,fund_type/name:bond,,,,,,,
