fund_code,name,event_date,announcement_date,event_type,event_keyword,title,source_url,source_file,event_date_source,review_status,review_note
159907.SZ,广发国证2000ETF,20240326,20240326,share_split,基金份额拆分,关于广发国证2000交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位的公告,https://static.cninfo.com.cn/finalpage/2024-03-26/1219400299.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159907.SZ,广发国证2000ETF,20240401,20240401,share_split,基金份额拆分,关于广发国证2000交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2024-04-01/1219474317.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159876.SZ,华宝中证有色金属ETF,20250804,20250804,share_split,基金份额拆分,华宝基金管理有限公司关于华宝中证有色金属交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2025-08-04/1224369082.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159231.SZ,华宝国证通用航空产业ETF,20250811,20250811,share_split,基金份额拆分,华宝基金管理有限公司关于华宝国证通用航空产业交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2025-08-11/1224442186.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159567.SZ,银华国证港股通创新药ETF,20250811,20250811,share_split,基金份额拆分,银华基金管理股份有限公司关于银华国证港股通创新药交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2025-08-11/1224442644.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159596.SZ,华宝中证A50ETF,20251020,20251020,share_split,基金份额拆分,华宝基金管理有限公司关于华宝中证A50交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2025-10-20/1224719474.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159220.SZ,华宝标普港股通低波红利ETF,20251110,20251110,share_split,基金份额拆分,华宝基金管理有限公司关于华宝标普港股通低波红利交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2025-11-10/1224794202.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159971.SZ,富国创业板ETF,20251202,20251202,share_split,基金份额拆分,关于富国创业板交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2025-12-02/1224842088.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159636.SZ,工银瑞信国证港股通科技ETF,20251208,20251208,share_split,基金份额拆分,港股通科技30ETF：工银瑞信基金管理有限公司关于工银瑞信国证港股通科技交易型开放式指数证券投资基金基金份额拆分结果的公告,https://disc.static.szse.cn/download/disc/disk03/finalpage/2025-12-08/ed4a78bb-e6c0-4478-bb5b-887e406b33a4.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159970.SZ,工银瑞信深证100ETF,20251222,20251222,share_split,基金份额拆分,深100ETF工银：工银瑞信基金管理有限公司关于工银瑞信深证100交易型开放式指数证券投资基金基金份额拆分结果的公告,https://disc.static.szse.cn/download/disc/disk03/finalpage/2025-12-22/f1497d58-2461-41f2-85f3-a205c076e402.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
588780.SH,国联安上证科创板芯片设计主题ETF,20260203,20260203,share_split,基金份额拆分,国联安基金管理有限公司关于国联安上证科创板芯片设计主题交易型开放式指数证券投资基金基金份额拆分结果的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-02-03/588780_20260203_Q6ER.pdf,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159994.SZ,银华中证5G通信主题ETF,20260209,20260209,share_split,基金份额拆分,银华基金管理股份有限公司关于银华中证5G通信主题交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2026-02-09/1224972085.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159246.SZ,富国创业板人工智能ETF,20260213,20260213,share_split,基金份额拆分,关于富国创业板人工智能交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2026-02-13/1224980186.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159305.SZ,广发国证新能源电池ETF,20260521,20260521,share_split,基金份额拆分,关于广发国证新能源电池交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2026-05-21/1225321575.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
512930.SH,平安中证人工智能主题ETF,20260522,20260522,share_split,基金份额拆分,平安基金管理有限公司关于平安中证人工智能主题交易型开放式指数证券投资基金基金份额拆分结果的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-05-22/512930_20260522_RO7M.pdf,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159507.SZ,广发国证通信ETF,20260609,20260609,share_split,基金份额拆分,关于广发国证通信交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2026-06-09/1225358702.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159546.SZ,国泰中证全指集成电路ETF,20260610,20260610,share_split,基金份额拆分,集成电路ETF国泰：国泰基金管理有限公司关于国泰中证全指集成电路交易型开放式指数证券投资基金基金份额拆分结果的公告,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-06-10/2eafd59e-c07f-463b-9a24-b122347c99e9.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159667.SZ,国泰中证机床ETF,20260610,20260610,share_split,基金份额拆分,国泰基金管理有限公司关于国泰中证机床交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2026-06-10/1225361557.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
159881.SZ,国泰中证有色金属ETF,20260626,20260626,share_split,基金份额拆分,有色金属ETF国泰：国泰基金管理有限公司关于国泰中证有色金属交易型开放式指数证券投资基金基金份额拆分结果的公告,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-06-26/f751af2e-a111-45f3-a3ee-2812464390dd.PDF,data\local_reference\etf_announcements.csv,announcement_date,auto_from_announcement,
