fund_code,name,trade_date,prev_trade_date,event_type,event_date,announcement_date,event_keyword,event_title,source_url,share_change,share_change_pct,adjustment_action,review_status,review_note
511220.SH,海富通上证城投债ETF,20230113,20230112,share_split,20230113,20230110,基金份额拆分,海富通基金管理有限公司关于上证城投债交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-10/511220_20230110_6QF2.pdf,12994.33,9.00002770447635,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159939.SZ,广发中证全指信息技术ETF,20230216,20230215,share_split,20230216,20230216,基金份额拆分,关于广发中证全指信息技术交易型开放式指数证券投资基金基金份额拆分结果及恢复申购、赎回的公告,https://static.cninfo.com.cn/finalpage/2023-02-16/1215873539.PDF,249282.8053,0.9904641876621676,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159801.SZ,广发国证半导体芯片ETF,20230831,20230830,share_split,20230831,20230831,基金份额拆分,关于广发国证半导体芯片交易型开放式指数证券投资基金基金份额拆分结果及恢复申购、赎回的公告,https://static.cninfo.com.cn/finalpage/2023-08-31/1217719072.PDF,273106.0086,0.9869898018542702,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
512040.SH,富国中证价值ETF,20231010,20231009,share_split,20231011,20231011,基金份额拆分,关于富国中证价值交易型开放式指数证券投资基金基金份额拆分结果的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-10-11/512040_20231011_XY20.pdf,23085.799999999996,1.000000433166896,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159907.SZ,广发国证2000ETF,20240401,20240329,share_split,20240401,20240401,基金份额拆分,关于广发国证2000交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2024-04-01/1219474317.PDF,14059.8847,1.0,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
515220.SH,国泰中证煤炭ETF,20240411,20240410,share_split,20240412,20240412,基金份额拆分,国泰基金管理有限公司关于国泰中证煤炭交易型开放式指数证券投资基金基金份额拆分结果的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-04-12/515220_20240412_5CZN.pdf,153358.84,1.011876508696127,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
588790.SH,博时上证科创板人工智能ETF,20250318,20250317,share_split,20250319,20250319,基金份额拆分,博时基金管理有限公司关于博时上证科创板人工智能交易型开放式指数证券投资基金基金份额拆分结果的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-03-19/588790_20250319_ZM10.pdf,199269.2,0.9866316250200525,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
512810.SH,华宝中证军工ETF,20250620,20250619,share_split,20250617,20250617,基金份额拆分,华宝基金管理有限公司关于华宝中证军工交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-06-17/512810_20250617_V0RQ.pdf,51179.18000000001,1.0000001953919926,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
512800.SH,华宝中证银行ETF,20250704,20250703,share_split,20250701,20250701,基金份额拆分,华宝基金管理有限公司关于华宝中证银行交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-01/512800_20250701_6LD2.pdf,692233.99,0.9905556827515547,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
512000.SH,华宝中证全指证券公司ETF,20250801,20250731,share_split,20250729,20250729,基金份额拆分,华宝基金管理有限公司关于华宝中证全指证券公司交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-29/512000_20250729_PP6C.pdf,2157721.77,1.0031521076463172,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159876.SZ,华宝中证有色金属ETF,20250804,20250801,share_split,20250804,20250804,基金份额拆分,华宝基金管理有限公司关于华宝中证有色金属交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2025-08-04/1224369082.PDF,6088.8509,1.0099521452753129,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
