fund_code,name,trade_date,prev_trade_date,share_change,share_change_pct,confirmed_at,confirm_note
159787.SZ,易方达中证全指建筑材料ETF,20240108,20240105,-4450.0,-0.5740333153198669,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
562930.SH,易方达中证软件服务ETF,20240109,20240108,3900.0,0.9889190354235872,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
560280.SH,广发中证工程机械主题ETF,20240115,20240112,4050.0,3.766741071428571,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
560280.SH,广发中证工程机械主题ETF,20240116,20240115,-3950.0,-0.7707016311558573,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
562920.SH,易方达中证信息安全主题ETF,20240116,20240115,-4600.0,-0.6564957399135138,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159520.SZ,工银瑞信中证消费龙头ETF,20240117,20240116,-2900.0,-0.535276087746074,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159686.SZ,易方达中证A100ETF,20240117,20240116,-3600.0,-0.5823792801358548,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
562590.SH,华夏中证半导体材料设备主题ETF,20240118,20240117,-3400.0,-0.5604734352076224,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
560590.SH,鹏华中证1000增强策略ETF,20240119,20240118,-3900.0,-0.6642820643842616,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
561370.SH,国泰中证2000ETF,20240122,20240119,-3400.0000000000005,-0.6033075448931792,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
562350.SH,银华中证全指电力公用事业ETF,20240123,20240122,3000.0,1.020029988881673,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
562960.SH,易方达中证绿色电力ETF,20240123,20240122,-2950.0000000000005,-0.5231331240800837,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159777.SZ,国联安创业板科技ETF,20240124,20240123,7100.000000000001,4.108661956365432,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159777.SZ,国联安创业板科技ETF,20240125,20240124,-7100.000000000001,-0.8042540280524938,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159543.SZ,工银瑞信国证2000ETF,20240129,20240126,4400.0,2.418040649571449,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
513040.SH,易方达中证港股通互联网ETF,20240129,20240126,13000.0,2.247529014735146,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159543.SZ,工银瑞信国证2000ETF,20240130,20240129,-4400.0,-0.707434725761562,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159971.SZ,富国创业板ETF,20240201,20240131,20000.0,14.275370759929377,2026-06-27T16:11:53,auto_confirmed_non_lifecycle_announcements
562010.SH,华宝中证绿色能源ETF,20240201,20240131,-5000.000000000001,-0.5861754047834258,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
563300.SH,华泰柏瑞中证2000ETF,20240208,20240207,691250.0,4.449131542395638,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159531.SZ,南方中证2000ETF,20240219,20240208,141600.0,6.9205367838113165,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
588320.SH,广发中证科创创业50增强策略ETF,20240228,20240227,-4800.0,-0.6682947068274658,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159539.SZ,广发国证信息技术创新主题ETF,20240311,20240308,-3600.0000000000005,-0.6146997033151882,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
561370.SH,国泰中证2000ETF,20240311,20240308,-3400.0000000000005,-0.5633242759626218,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159620.SZ,华夏中证智选500成长创新策略ETF,20240318,20240315,-3900.0,-0.5987018853613613,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159653.SZ,国联安国证ESG300ETF,20240318,20240315,5100.0,4.6481665990404,2026-06-27T16:11:53,auto_confirmed_non_lifecycle_announcements
159787.SZ,易方达中证全指建筑材料ETF,20240320,20240319,5700.0,2.588363905619533,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159787.SZ,易方达中证全指建筑材料ETF,20240321,20240320,-5700.0,-0.7213214639591161,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159791.SZ,华夏沪深300ESG基准ETF,20240322,20240321,-4000.000000000001,-0.6548429639914788,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
516190.SH,华夏中证文娱传媒ETF,20240322,20240321,-3240.0000000000005,-0.6325839296347999,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
562920.SH,易方达中证信息安全主题ETF,20240402,20240401,-3800.0,-0.5751562760144697,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159562.SZ,华夏中证沪深港黄金产业股票ETF,20240409,20240408,19300.0,3.565457288186343,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
515220.SH,国泰中证煤炭ETF,20240411,20240410,153358.84,1.011876508696127,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
561200.SH,工银瑞信中证A100ETF,20240417,20240416,1800.0000000000002,5.186572539979831,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159543.SZ,工银瑞信国证2000ETF,20240418,20240417,4800.0,2.6378625268052174,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159686.SZ,易方达中证A100ETF,20240419,20240418,-3200.0,-0.5534858834982093,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159517.SZ,银华中证800增强策略ETF,20240422,20240419,-2999.9999999999995,-0.5287030786591751,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
561370.SH,国泰中证2000ETF,20240423,20240422,4400.0,2.161524857535862,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159777.SZ,国联安创业板科技ETF,20240424,20240423,7800.000000000001,4.79098851913309,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159777.SZ,国联安创业板科技ETF,20240425,20240424,-7600.000000000001,-0.80610463036576,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159527.SZ,广发中证云计算与大数据主题ETF,20240426,20240425,-2800.0,-0.6349141562047552,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
588320.SH,广发中证科创创业50增强策略ETF,20240507,20240506,5400.0,3.029520999068702,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
588320.SH,广发中证科创创业50增强策略ETF,20240508,20240507,-5400.0,-0.751831545180899,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159527.SZ,广发中证云计算与大数据主题ETF,20240514,20240513,3400.0,2.1117422183852,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159527.SZ,广发中证云计算与大数据主题ETF,20240515,20240514,-3400.0,-0.6786366190323639,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159543.SZ,工银瑞信国证2000ETF,20240515,20240514,-3600.0,-0.6642489113375499,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
