fund_code,name,trade_date,prev_trade_date,request_start_date,request_end_date,share_change,share_change_pct,review_layer,review_reason,category,subcategory,fund_type,list_date,days_since_list,share_ratio,nearest_integer_ratio,integer_ratio_error
159001.SZ,易方达保证金收益货币ETF-A,20230103,20221230,20221226,20230110,141040.35,0.9499779008099982,low_suspicion_observation,low:money_etf_noise;high:positive_integer_ratio,货币,货币,货币型,20141020,2997.0,1.9499779008099982,2.0,0.05002209919000178
560680.SH,广发中证主要消费ETF,20230105,20230104,20221228,20230112,1950.0000000000005,0.7033211183887816,low_suspicion_observation,low:ordinary_large_subscription_redemption,消费,消费综合,股票型,20221031,66.0,1.7033211183887818,2.0,0.29667888161121825
159728.SZ,南方国证在线消费ETF,20230106,20230105,20221229,20230113,2400.0,0.50622093856779,low_suspicion_observation,low:ordinary_large_subscription_redemption,消费,消费综合,股票型,20220111,360.0,1.50622093856779,2.0,0.49377906143220995
588320.SH,广发中证科创创业50增强策略ETF,20230106,20230105,20221229,20230113,-12000.0029,-0.5067041781368102,low_suspicion_observation,low:listed_less_than_60d;high:negative_change_le_-0.50,宽基,科创创业50,股票型,20230106,0.0,0.4932958218631897,0.0,0.4932958218631897
588320.SH,广发中证科创创业50增强策略ETF,20230109,20230106,20221230,20230116,-6299.999999999999,-0.5392699825208046,low_suspicion_observation,low:listed_less_than_60d;high:negative_change_le_-0.50,宽基,科创创业50,股票型,20230106,3.0,0.46073001747919534,0.0,0.46073001747919534
510770.SH,申万菱信上证G60战略新兴产业成份ETF,20230112,20230111,20230105,20230119,1649.9999999999995,0.5390272029061731,low_suspicion_observation,low:ordinary_large_subscription_redemption,宽基,其他,股票型,20210928,471.0,1.5390272029061731,2.0,0.4609727970938269
159001.SZ,易方达保证金收益货币ETF-A,20230130,20230120,20230116,20230206,112216.99000000002,0.6300260197282822,low_suspicion_observation,low:money_etf_noise,货币,货币,货币型,20141020,3024.0,1.630026019728282,2.0,0.3699739802717179
159944.SZ,广发中证全指原材料ETF,20230203,20230202,20230120,20230210,1199.9999999999998,0.6814951685967934,low_suspicion_observation,low:ordinary_large_subscription_redemption,周期,原材料,股票型,20150706,2769.0,1.6814951685967934,2.0,0.3185048314032066
159620.SZ,华夏中证智选500成长创新策略ETF,20230207,20230206,20230131,20230214,1899.9999999999995,0.5406799944475008,low_suspicion_observation,low:ordinary_large_subscription_redemption,宽基,其他,股票型,20220805,186.0,1.540679994447501,2.0,0.4593200055524991
159731.SZ,华夏中证石化产业ETF,20230210,20230209,20230203,20230217,2800.0000000000005,0.7296264453313577,low_suspicion_observation,low:ordinary_large_subscription_redemption,周期,化工,股票型,20211210,427.0,1.7296264453313577,2.0,0.2703735546686423
159666.SZ,华夏中证全指运输ETF,20230214,20230213,20230207,20230221,-45500.0,-0.5000918273009701,low_suspicion_observation,low:listed_less_than_60d;high:negative_change_le_-0.50,周期,交通运输,股票型,20230213,1.0,0.4999081726990298,0.0,0.4999081726990298
517170.SH,华夏中证沪港深500ETF,20230216,20230215,20230209,20230223,2500.0,0.5419255264264563,low_suspicion_observation,low:ordinary_large_subscription_redemption,港股,港股宽基,股票型,20210420,667.0,1.5419255264264564,2.0,0.4580744735735436
159689.SZ,南方中证主要消费ETF,20230314,20230313,20230307,20230321,-22200.0,-0.5809270851541003,low_suspicion_observation,low:listed_less_than_60d;high:negative_change_le_-0.50,消费,消费综合,股票型,20230313,1.0,0.41907291484589965,0.0,0.41907291484589965
517660.SH,天弘中证沪港深物联网主题ETF,20230321,20230320,20230314,20230328,2759.9999999999995,0.6920640811219461,low_suspicion_observation,low:ordinary_large_subscription_redemption,港股,港股科技,股票型,20211025,512.0,1.692064081121946,2.0,0.30793591887805394
513380.SH,广发恒生科技ETF(QDII),20230322,20230321,20230315,20230329,12450.0,0.7459891846547928,low_suspicion_observation,low:ordinary_large_subscription_redemption,港股,港股科技,股票型,20220512,314.0,1.7459891846547928,2.0,0.2540108153452072
159650.SZ,博时中债0-3年国开行债券ETF,20230328,20230327,20230321,20230404,1519.0,0.5216669329377411,low_suspicion_observation,low:ordinary_large_subscription_redemption,债券,政金债,债券型,20221028,151.0,1.521666932937741,2.0,0.478333067062259
